pasta,bateria,valor_u,sigma2,num_ciclos
1,B0005,1.0000344626296258,0.00014675503168840525,168
1,B0018,0.9997128753546922,0.0005179602938048144,132
1,B0006,0.9998570934198484,0.0004572113593322946,168
1,B0007,1.0000116615971533,0.00013448501697064047,168
2,B0027,0.9997565001484747,0.00013569827080271818,28
2,B0026,0.9904667142690642,0.019666479452762172,28
2,B0025,0.9995439305790164,8.982060222720734e-05,28
2,B0028,0.9995272900678915,9.04509670268259e-05,28
3,B0039,0.6380208119278468,0.7780147821457462,47
3,B0036,0.9902865376517916,0.00816518007914108,197
3,B0027,0.9997565001484747,0.00013569827080271818,28
3,B0043,,,112
3,B0026,0.9904667142690642,0.019666479452762172,28
3,B0032,0.9965201715457637,0.0005402584554916694,40
3,B0029,0.9973083239130632,0.00035486713689776643,40
3,B0040,0.9459141990278002,0.12444429441468298,47
3,B0041,0.1596937144552747,10.61411004976017,67
3,B0042,,,112
3,B0033,0.6957521542190421,0.30909896340432824,197
3,B0034,0.9839864554119451,0.012051753836639739,197
3,B0025,0.9995439305790164,8.982060222720734e-05,28
3,B0038,0.9826629560679461,0.0253846603383062,47
3,B0031,0.9968668270349518,0.0005251200621996863,40
3,B0028,0.9995272900678915,9.04509670268259e-05,28
3,B0030,0.9976087446198427,0.0003715401852909762,40
3,B0044,,,112
4,B0047,,,72
4,B0048,,,72
4,B0046,,,72
4,B0045,,,72
5,B0051,,,25
5,B0049,,,25
6,B0056,0.9866479439526019,0.007622296113101994,102
6,B0055,0.9881660248450511,0.006044181913728524,102
6,B0054,0.9800439133807844,0.015444415318787876,103
6,B0053,0.9788768488746766,0.020621335774708035,56
